,2014 offence or offence category,2014 sex,2014 total suspects number,2014 children under 21,2014 adults 21>,2015 offence or offence category,2015 sex,2015 total suspects number,2015 children under 21,2015 adults 21>,2016 offence or offence category,2016 sex,2016 total suspects number,2016 children under 21,2016 adults 21>,2017 offence or offence category,2017 sex,2017 total suspects number,2017 children under 21,2017 adults 21>,2018 offence or offence category,2018 sex,2018 total suspects number,2018 children under 21,2018 adults 21>,2019 offence or offence category,2019 sex,2019 total suspects number,2019 children under 21,2019 adults 21>,2020 offence or offence category,2020 sex,2020 total suspects number,2020 children under 21,2020 adults 21>,2021 offence or offence category,2021 sex,2021 total suspects number,2021 children under 21,2021 adults 21>,2022 offence or offence category,2022 sex,2022 total suspects number,2022 children under 21,2022 adults 21>,2023 offence or offence category,2023 sex,2023 total suspects number,2023 children under 21,2023 adults 21>
211,other forms of robbery resulting in death (sect. 251 PC),f,0.0,0.0,0.0,theft resembling robbery (sect. 252 PC),f,1114.0,288.0,826.0,dissemination of juvenile pornography (sect. 184c (1) no 1 PC),f,89.0,83.0,6.0,dissemination and production of child pornography on a commercial/gang-type basis (sect. 184b (2) PC),f,4.0,1.0,3.0,making pornographic contents available via radio broadcasting or telemedia (sect. 184d PC),f,8.0,5.0,3.0,making pornographic contents available via radio broadcasting or telemedia (sect. 184d PC),W,7.0,6.0,1.0,making pornographic contents available via radio broadcasting or telemedia (sect. 184d PC),W,7.0,2.0,5.0,making pornographic contents available via radio broadcasting or telemedia (sect. 184d PC),W,4.0,1.0,3.0,engaging in prohibited prostitution (sect. 184f PC),W,364,46,318,youth-endangering prostitution (sect. 184g PC),f,11.0,0.0,11.0
212,other forms of robbery resulting in death (sect. 251 PC),x,0.0,0.0,0.0,theft resembling robbery (sect. 252 PC),x,7840.0,2064.0,5776.0,dissemination of juvenile pornography (sect. 184c (1) no 1 PC),x,419.0,290.0,129.0,dissemination and production of child pornography on a commercial/gang-type basis (sect. 184b (2) PC),x,35.0,10.0,25.0,making pornographic contents available via radio broadcasting or telemedia (sect. 184d PC),x,52.0,20.0,32.0,making pornographic contents available via radio broadcasting or telemedia (sect. 184d PC),X,56.0,27.0,29.0,making pornographic contents available via radio broadcasting or telemedia (sect. 184d PC),X,46.0,19.0,27.0,making pornographic contents available via radio broadcasting or telemedia (sect. 184d PC),X,27.0,9.0,18.0,engaging in prohibited prostitution (sect. 184f PC),X,399,46,353,youth-endangering prostitution (sect. 184g PC),m,17.0,0.0,17.0
213,theft resembling robbery (sect. 252 PC),m,6297.0,1629.0,4668.0,other forms of extorsion resembling robbery (sect. 255 PC),m,2490.0,945.0,1545.0,procuring juvenile pornography for another (sect. 184c (1) No. 2 PC),m,17.0,6.0,11.0,possession or procurement of child pornography (sect. 184b (3) PC),m,2673.0,512.0,2161.0,organisation of and attendance at presentations involving child and juvenile pornography (sect. 184e PC),m,0.0,0.0,0.0,organisation of and attendance at presentations involving child and juvenile pornography (sect. 184e PC),M,0.0,0.0,0.0,organisation of and attendance at presentations involving child and juvenile pornography (sect. 184e PC),M,2.0,0.0,2.0,organisation of and attendance at presentations involving child and juvenile pornography (sect. 184e PC),M,2.0,2.0,0.0,youth-endangering prostitution (sect. 184g PC),M,3,0,3,"promoting sexual acts by minors or exploitation of prostitutes (sects. 180,180a PC)",x,68.0,15.0,53.0
214,theft resembling robbery (sect. 252 PC),f,1028.0,287.0,741.0,other forms of extorsion resembling robbery (sect. 255 PC),f,195.0,71.0,124.0,procuring juvenile pornography for another (sect. 184c (1) No. 2 PC),f,4.0,4.0,0.0,possession or procurement of child pornography (sect. 184b (3) PC),f,187.0,104.0,83.0,organisation of and attendance at presentations involving child and juvenile pornography (sect. 184e PC),f,0.0,0.0,0.0,organisation of and attendance at presentations involving child and juvenile pornography (sect. 184e PC),W,0.0,0.0,0.0,organisation of and attendance at presentations involving child and juvenile pornography (sect. 184e PC),W,0.0,0.0,0.0,organisation of and attendance at presentations involving child and juvenile pornography (sect. 184e PC),W,1.0,0.0,1.0,youth-endangering prostitution (sect. 184g PC),W,7,0,7,"promoting sexual acts by minors or exploitation of prostitutes (sects. 180,180a PC)",f,36.0,8.0,28.0
215,theft resembling robbery (sect. 252 PC),x,7325.0,1916.0,5409.0,other forms of extorsion resembling robbery (sect. 255 PC),x,2685.0,1016.0,1669.0,procuring juvenile pornography for another (sect. 184c (1) No. 2 PC),x,21.0,10.0,11.0,possession or procurement of child pornography (sect. 184b (3) PC),x,2860.0,616.0,2244.0,organisation of and attendance at presentations involving child and juvenile pornography (sect. 184e PC),x,0.0,0.0,0.0,organisation of and attendance at presentations involving child and juvenile pornography (sect. 184e PC),X,0.0,0.0,0.0,organisation of and attendance at presentations involving child and juvenile pornography (sect. 184e PC),X,2.0,0.0,2.0,organisation of and attendance at presentations involving child and juvenile pornography (sect. 184e PC),X,3.0,2.0,1.0,youth-endangering prostitution (sect. 184g PC),X,10,0,10,"promoting sexual acts by minors or exploitation of prostitutes (sects. 180,180a PC)",w,104.0,23.0,81.0
216,other forms of extorsion resembling robbery (sect. 255 PC),m,2654.0,1179.0,1475.0,robbery/extorsion resembling robbery to the prejudice of financial institutions and post offices/postal agencies,m,131.0,20.0,111.0,production of juvenile pornography showing an actual activity without intent to disseminate (sect. 184c (1) No. 3 PC),m,39.0,17.0,22.0,"dissemination, acquisition, possession and production of writings of juvenile pornography (sect. 184c PC)",m,980.0,469.0,511.0,"dissemination of writings (products) depicting pornography to persons under 18 years of age (sect. 184 (1) no. 1, 2, 5 PC)",m,827.0,442.0,385.0,"dissemination of writings (products) depicting pornography to persons under 18 years of age (sect. 184 (1) no. 1, 2, 5 PC)",M,1343.0,924.0,419.0,"dissemination of writings (products) depicting pornography to persons under 18 years of age (sect. 184 (1) no. 1, 2, 5 PC)",M,1829.0,1248.0,581.0,"dissemination of writings (products) depicting pornography to persons under 18 years of age (sect. 184 (1) no. 1, 2, 5 PC)",M,1825.0,1252.0,573.0,"promoting sexual acts by minors or exploitation of prostitutes (sects. 180,180a PC)",M,95,34,61,promoting sexual acts by minors (sect. 180 PC),m,59.0,13.0,46.0
217,other forms of extorsion resembling robbery (sect. 255 PC),f,199.0,76.0,123.0,robbery/extorsion resembling robbery to the prejudice of financial institutions and post offices/postal agencies,f,9.0,0.0,9.0,production of juvenile pornography showing an actual activity without intent to disseminate (sect. 184c (1) No. 3 PC),f,4.0,4.0,0.0,"dissemination, acquisition, possession and production of writings of juvenile pornography (sect. 184c PC)",f,192.0,166.0,26.0,"dissemination of writings (products) depicting pornography to persons under 18 years of age (sect. 184 (1) no. 1, 2, 5 PC)",f,112.0,91.0,21.0,"dissemination of writings (products) depicting pornography to persons under 18 years of age (sect. 184 (1) no. 1, 2, 5 PC)",W,177.0,148.0,29.0,"dissemination of writings (products) depicting pornography to persons under 18 years of age (sect. 184 (1) no. 1, 2, 5 PC)",W,274.0,204.0,70.0,"dissemination of writings (products) depicting pornography to persons under 18 years of age (sect. 184 (1) no. 1, 2, 5 PC)",W,300.0,207.0,93.0,"promoting sexual acts by minors or exploitation of prostitutes (sects. 180,180a PC)",W,25,5,20,promoting sexual acts by minors (sect. 180 PC),f,34.0,8.0,26.0
218,other forms of extorsion resembling robbery (sect. 255 PC),x,2853.0,1255.0,1598.0,robbery/extorsion resembling robbery to the prejudice of financial institutions and post offices/postal agencies,x,140.0,20.0,120.0,production of juvenile pornography showing an actual activity without intent to disseminate (sect. 184c (1) No. 3 PC),x,43.0,21.0,22.0,"dissemination, acquisition, possession and production of writings of juvenile pornography (sect. 184c PC)",x,1172.0,635.0,537.0,"dissemination of writings (products) depicting pornography to persons under 18 years of age (sect. 184 (1) no. 1, 2, 5 PC)",x,939.0,533.0,406.0,"dissemination of writings (products) depicting pornography to persons under 18 years of age (sect. 184 (1) no. 1, 2, 5 PC)",X,1520.0,1072.0,448.0,"dissemination of writings (products) depicting pornography to persons under 18 years of age (sect. 184 (1) no. 1, 2, 5 PC)",X,2103.0,1452.0,651.0,"dissemination of writings (products) depicting pornography to persons under 18 years of age (sect. 184 (1) no. 1, 2, 5 PC)",X,2125.0,1459.0,666.0,"promoting sexual acts by minors or exploitation of prostitutes (sects. 180,180a PC)",X,120,39,81,promoting sexual acts by minors (sect. 180 PC),x,93.0,21.0,72.0
219,robbery/extorsion resembling robbery to the prejudice of financial institutions and post offices/postal agencies,m,162.0,34.0,128.0,robberies/extorsion resembling robbery of financial institutions (banks/savings banks),m,97.0,14.0,83.0,production of juvenile pornography with intent to disseminate (sect. 184c (1) No. 4 PC),m,15.0,9.0,6.0,"dissemination, acquisition, possession and production of juvenile pornography (sect. 184c (1) PC)",m,551.0,352.0,199.0,"dissemination, acquisition, possession and production of writings of child pornography (sect. 184b PC)",m,5809.0,1324.0,4485.0,"dissemination, acquisition, possession and production of writings of child pornography (sect. 184b PC)",M,10349.0,4027.0,6322.0,"dissemination, acquisition, possession and production of writings of child pornography (sect. 184b PC)",M,15180.0,7397.0,7783.0,"dissemination, acquisition, possession and production of writings of child pornography (sect. 184b PC)",M,29281.0,14580.0,14701.0,promoting sexual acts by minors (sect. 180 PC),M,83,33,50,"promotion of sexual acts on underaged persons by negotiation or in return for payment (sect. 180 (1) no. 1, (2) PC)",w,42.0,12.0,30.0
220,robbery/extorsion resembling robbery to the prejudice of financial institutions and post offices/postal agencies,f,5.0,1.0,4.0,robberies/extorsion resembling robbery of financial institutions (banks/savings banks),f,6.0,0.0,6.0,production of juvenile pornography with intent to disseminate (sect. 184c (1) No. 4 PC),f,7.0,6.0,1.0,"dissemination, acquisition, possession and production of juvenile pornography (sect. 184c (1) PC)",f,153.0,137.0,16.0,"dissemination, acquisition, possession and production of writings of child pornography (sect. 184b PC)",f,738.0,391.0,347.0,"dissemination, acquisition, possession and production of writings of child pornography (sect. 184b PC)",W,1435.0,845.0,590.0,"dissemination, acquisition, possession and production of writings of child pornography (sect. 184b PC)",W,2627.0,1610.0,1017.0,"dissemination, acquisition, possession and production of writings of child pornography (sect. 184b PC)",W,6183.0,3298.0,2885.0,promoting sexual acts by minors (sect. 180 PC),W,17,5,12,"promotion of sexual acts on underaged persons by negotiation or in return for payment (sect. 180 (1) no. 1, (2) PC)",f,17.0,4.0,13.0
221,robbery/extorsion resembling robbery to the prejudice of financial institutions and post offices/postal agencies,x,167.0,35.0,132.0,robberies/extorsion resembling robbery of financial institutions (banks/savings banks),x,103.0,14.0,89.0,production of juvenile pornography with intent to disseminate (sect. 184c (1) No. 4 PC),x,22.0,15.0,7.0,"dissemination, acquisition, possession and production of juvenile pornography (sect. 184c (1) PC)",x,704.0,489.0,215.0,"dissemination, acquisition, possession and production of writings of child pornography (sect. 184b PC)",x,6547.0,1715.0,4832.0,"dissemination, acquisition, possession and production of writings of child pornography (sect. 184b PC)",X,11784.0,4872.0,6912.0,"dissemination, acquisition, possession and production of writings of child pornography (sect. 184b PC)",X,17807.0,9007.0,8800.0,"dissemination, acquisition, possession and production of writings of child pornography (sect. 184b PC)",X,35464.0,17878.0,17586.0,promoting sexual acts by minors (sect. 180 PC),X,100,38,62,"promotion of sexual acts on underaged persons by negotiation or in return for payment (sect. 180 (1) no. 1, (2) PC)",m,59.0,16.0,43.0
222,robberies/extorsion resembling robbery of financial institutions (banks/savings banks),m,133.0,24.0,109.0,robbery of financial institutions (banks/savings banks) (sect. 249 PC),m,7.0,3.0,4.0,dissemination and production of juvenile pornography on a commercial/gang-type basis (sect. 184b (2) PC),m,1.0,0.0,1.0,dissemination of juvenile pornography (sect. 184c (1) no 1 PC),m,441.0,284.0,157.0,"dissemination, acquisition, possession and production of child pornography (sect. 184b (1) PC)",m,3064.0,721.0,2343.0,"dissemination, acquisition, possession and production of child pornography (sect. 184b (1) PC)",M,5842.0,2376.0,3466.0,"dissemination, acquisition, possession and production of child pornography (sect. 184b (1) PC)",M,7489.0,3668.0,3821.0,"dissemination, acquisition, possession and production of child pornography (sect. 184b (1) PC)",M,14833.0,7132.0,7701.0,"promotion of sexual acts on underaged persons by negotiation or in return for payment (sect. 180 (1) no. 1, (2) PC)",M,56,23,33,other forms of promotion of sexual acts on underaged persons,x,21.0,4.0,17.0
223,robberies/extorsion resembling robbery of financial institutions (banks/savings banks),f,3.0,0.0,3.0,robbery of financial institutions (banks/savings banks) (sect. 249 PC),f,2.0,0.0,2.0,dissemination and production of juvenile pornography on a commercial/gang-type basis (sect. 184b (2) PC),f,2.0,2.0,0.0,dissemination of juvenile pornography (sect. 184c (1) no 1 PC),f,128.0,114.0,14.0,"dissemination, acquisition, possession and production of child pornography (sect. 184b (1) PC)",f,423.0,239.0,184.0,"dissemination, acquisition, possession and production of child pornography (sect. 184b (1) PC)",W,821.0,490.0,331.0,"dissemination, acquisition, possession and production of child pornography (sect. 184b (1) PC)",W,1164.0,706.0,458.0,"dissemination, acquisition, possession and production of child pornography (sect. 184b (1) PC)",W,2624.0,1479.0,1145.0,"promotion of sexual acts on underaged persons by negotiation or in return for payment (sect. 180 (1) no. 1, (2) PC)",W,11,4,7,other forms of promotion of sexual acts on underaged persons,f,17.0,4.0,13.0
224,robberies/extorsion resembling robbery of financial institutions (banks/savings banks),x,136.0,24.0,112.0,robbery of financial institutions (banks/savings banks) (sect. 249 PC),x,9.0,3.0,6.0,dissemination and production of juvenile pornography on a commercial/gang-type basis (sect. 184b (2) PC),x,3.0,2.0,1.0,dissemination of juvenile pornography (sect. 184c (1) no 1 PC),x,569.0,398.0,171.0,"dissemination, acquisition, possession and production of child pornography (sect. 184b (1) PC)",x,3487.0,960.0,2527.0,"dissemination, acquisition, possession and production of child pornography (sect. 184b (1) PC)",X,6663.0,2866.0,3797.0,"dissemination, acquisition, possession and production of child pornography (sect. 184b (1) PC)",X,8653.0,4374.0,4279.0,"dissemination, acquisition, possession and production of child pornography (sect. 184b (1) PC)",X,17457.0,8611.0,8846.0,"promotion of sexual acts on underaged persons by negotiation or in return for payment (sect. 180 (1) no. 1, (2) PC)",X,67,27,40,other forms of promotion of sexual acts on underaged persons,w,38.0,8.0,30.0
225,robbery of financial institutions (banks/savings banks) (sect. 249 PC),m,4.0,0.0,4.0,serious robbery of financial institutions (banks/savings banks) (sect. 250 PC),m,31.0,4.0,27.0,possession or procurement of juvenile pornography (sect. 184b (3) PC),m,399.0,140.0,259.0,procuring juvenile pornography for another (sect. 184c (1) No. 2 PC),m,23.0,8.0,15.0,dissemination of child pornography (sect. 184b (1) no 1 PC),m,2702.0,628.0,2074.0,dissemination of child pornography (sect. 184b (1) no 1 PC),M,5126.0,2106.0,3020.0,dissemination of child pornography (sect. 184b (1) no 1 PC),M,6385.0,3146.0,3239.0,dissemination of child pornography (sect. 184b (1) no 1 PC),M,12774.0,6101.0,6673.0,other forms of promotion of sexual acts on underaged persons,M,27,10,17,exploitation of prostitutes (sect. 180a PC),m,9.0,2.0,7.0
226,robbery of financial institutions (banks/savings banks) (sect. 249 PC),f,0.0,0.0,0.0,serious robbery of financial institutions (banks/savings banks) (sect. 250 PC),f,3.0,0.0,3.0,possession or procurement of juvenile pornography (sect. 184b (3) PC),f,56.0,40.0,16.0,procuring juvenile pornography for another (sect. 184c (1) No. 2 PC),f,4.0,4.0,0.0,dissemination of child pornography (sect. 184b (1) no 1 PC),f,351.0,196.0,155.0,dissemination of child pornography (sect. 184b (1) no 1 PC),W,712.0,416.0,296.0,dissemination of child pornography (sect. 184b (1) no 1 PC),W,963.0,559.0,404.0,dissemination of child pornography (sect. 184b (1) no 1 PC),W,2182.0,1185.0,997.0,other forms of promotion of sexual acts on underaged persons,W,6,1,5,exploitation of prostitutes (sect. 180a PC),f,2.0,0.0,2.0
227,robbery of financial institutions (banks/savings banks) (sect. 249 PC),x,4.0,0.0,4.0,serious robbery of financial institutions (banks/savings banks) (sect. 250 PC),x,34.0,4.0,30.0,possession or procurement of juvenile pornography (sect. 184b (3) PC),x,455.0,180.0,275.0,procuring juvenile pornography for another (sect. 184c (1) No. 2 PC),x,27.0,12.0,15.0,dissemination of child pornography (sect. 184b (1) no 1 PC),x,3053.0,824.0,2229.0,dissemination of child pornography (sect. 184b (1) no 1 PC),X,5838.0,2522.0,3316.0,dissemination of child pornography (sect. 184b (1) no 1 PC),X,7348.0,3705.0,3643.0,dissemination of child pornography (sect. 184b (1) no 1 PC),X,14956.0,7286.0,7670.0,other forms of promotion of sexual acts on underaged persons,X,33,11,22,exploitation of prostitutes (sect. 180a PC),x,11.0,2.0,9.0
228,serious robbery of financial institutions (banks/savings banks) (sect. 250 PC),m,49.0,9.0,40.0,robbery resulting in death of financial institutions (banks/savings banks) (sect. 251 PC),m,0.0,0.0,0.0,offences involving brutality and crimes against personal freedom,m,517628.0,101208.0,416420.0,production of juvenile pornography showing an actual activity without intent to disseminate (sect. 184c (1) No. 3 PC),m,51.0,29.0,22.0,procuring child pornography for another pursuant to sect. 184b (1) No. 2 PC,m,242.0,42.0,200.0,procuring child pornography for another pursuant to sect. 184b (1) No. 2 PC,M,590.0,223.0,367.0,procuring child pornography for another pursuant to sect. 184b (1) No. 2 PC,M,880.0,425.0,455.0,procuring child pornography for another pursuant to sect. 184b (1) No. 2 PC,M,1821.0,882.0,939.0,exploitation of prostitutes (sect. 180a PC),M,12,1,11,pimping (sect. 181a PC) ,w,119.0,7.0,112.0
229,serious robbery of financial institutions (banks/savings banks) (sect. 250 PC),f,0.0,0.0,0.0,robbery resulting in death of financial institutions (banks/savings banks) (sect. 251 PC),f,0.0,0.0,0.0,offences involving brutality and crimes against personal freedom,f,113771.0,21838.0,91933.0,production of juvenile pornography showing an actual activity without intent to disseminate (sect. 184c (1) No. 3 PC),f,4.0,3.0,1.0,procuring child pornography for another pursuant to sect. 184b (1) No. 2 PC,f,31.0,10.0,21.0,procuring child pornography for another pursuant to sect. 184b (1) No. 2 PC,W,52.0,30.0,22.0,procuring child pornography for another pursuant to sect. 184b (1) No. 2 PC,W,109.0,77.0,32.0,procuring child pornography for another pursuant to sect. 184b (1) No. 2 PC,W,305.0,176.0,129.0,exploitation of prostitutes (sect. 180a PC),W,8,0,8,pimping (sect. 181a PC) ,f,28.0,2.0,26.0
230,serious robbery of financial institutions (banks/savings banks) (sect. 250 PC),x,49.0,9.0,40.0,robbery resulting in death of financial institutions (banks/savings banks) (sect. 251 PC),x,0.0,0.0,0.0,offences involving brutality and crimes against personal freedom,x,631399.0,123046.0,508353.0,production of juvenile pornography showing an actual activity without intent to disseminate (sect. 184c (1) No. 3 PC),x,55.0,32.0,23.0,procuring child pornography for another pursuant to sect. 184b (1) No. 2 PC,x,273.0,52.0,221.0,procuring child pornography for another pursuant to sect. 184b (1) No. 2 PC,X,642.0,253.0,389.0,procuring child pornography for another pursuant to sect. 184b (1) No. 2 PC,X,989.0,502.0,487.0,procuring child pornography for another pursuant to sect. 184b (1) No. 2 PC,X,2126.0,1058.0,1068.0,exploitation of prostitutes (sect. 180a PC),X,20,1,19,pimping (sect. 181a PC) ,m,147.0,9.0,138.0
231,robbery resulting in death of financial institutions (banks/savings banks) (sect. 251 PC),m,0.0,0.0,0.0,extortion resembling robbery of financial institutions (banks/savings banks) (sect. 255 PC),m,64.0,7.0,57.0,"robbery, extortion resembling robbery, and assault on motorists with intent to rob (sects. 249-252, 255, 316a PC)",m,25409.0,9362.0,16047.0,production of juvenile pornography with intent to disseminate (sect. 184c (1) No. 4 PC),m,42.0,34.0,8.0,production of child pornography showing an actual activity without intent to disseminate (sect. 184b (1) No. 3 PC),m,101.0,32.0,69.0,production of child pornography showing an actual activity without intent to disseminate (sect. 184b (1) No. 3 PC),M,89.0,21.0,68.0,production of child pornography showing an actual activity without intent to disseminate (sect. 184b (1) No. 3 PC),M,149.0,45.0,104.0,production of child pornography showing an actual activity without intent to disseminate (sect. 184b (1) No. 3 PC),M,167.0,64.0,103.0,pimping (sect. 181a PC) ,M,118,3,115,"dissemination of pornographic content (products) (sects. 184, 184a,  184b, 184c, 184e PC)",x,40938.0,19581.0,21357.0
232,robbery resulting in death of financial institutions (banks/savings banks) (sect. 251 PC),f,0.0,0.0,0.0,extortion resembling robbery of financial institutions (banks/savings banks) (sect. 255 PC),f,2.0,0.0,2.0,"robbery, extortion resembling robbery, and assault on motorists with intent to rob (sects. 249-252, 255, 316a PC)",f,2711.0,909.0,1802.0,production of juvenile pornography with intent to disseminate (sect. 184c (1) No. 4 PC),f,17.0,16.0,1.0,production of child pornography showing an actual activity without intent to disseminate (sect. 184b (1) No. 3 PC),f,15.0,9.0,6.0,production of child pornography showing an actual activity without intent to disseminate (sect. 184b (1) No. 3 PC),W,23.0,16.0,7.0,production of child pornography showing an actual activity without intent to disseminate (sect. 184b (1) No. 3 PC),W,35.0,25.0,10.0,production of child pornography showing an actual activity without intent to disseminate (sect. 184b (1) No. 3 PC),W,55.0,46.0,9.0,pimping (sect. 181a PC) ,W,21,0,21,"dissemination of pornographic content (products) (sects. 184, 184a,  184b, 184c, 184e PC)",f,7336.0,4362.0,2974.0
233,robbery resulting in death of financial institutions (banks/savings banks) (sect. 251 PC),x,0.0,0.0,0.0,extortion resembling robbery of financial institutions (banks/savings banks) (sect. 255 PC),x,66.0,7.0,59.0,"robbery, extortion resembling robbery, and assault on motorists with intent to rob (sects. 249-252, 255, 316a PC)",x,28120.0,10271.0,17849.0,production of juvenile pornography with intent to disseminate (sect. 184c (1) No. 4 PC),x,59.0,50.0,9.0,production of child pornography showing an actual activity without intent to disseminate (sect. 184b (1) No. 3 PC),x,116.0,41.0,75.0,production of child pornography showing an actual activity without intent to disseminate (sect. 184b (1) No. 3 PC),X,112.0,37.0,75.0,production of child pornography showing an actual activity without intent to disseminate (sect. 184b (1) No. 3 PC),X,184.0,70.0,114.0,production of child pornography showing an actual activity without intent to disseminate (sect. 184b (1) No. 3 PC),X,222.0,110.0,112.0,pimping (sect. 181a PC) ,X,139,3,136,"dissemination of pornographic content (products) (sects. 184, 184a,  184b, 184c, 184e PC)",w,48274.0,23943.0,24331.0
234,extortion resembling robbery of financial institutions (banks/savings banks) (sect. 255 PC),m,95.0,18.0,77.0,robberies of post offices and postal agencies,m,35.0,6.0,29.0,other forms of robbery (sect. 249 PC),m,2155.0,841.0,1314.0,dissemination and production of juvenile pornography on a commercial/gang-type basis (sect. 184b (2) PC),m,11.0,4.0,7.0,production of child pornography with intent to disseminate (sect. 184b (1) No. 4 PC),m,53.0,23.0,30.0,production of child pornography with intent to disseminate (sect. 184b (1) No. 4 PC),M,74.0,34.0,40.0,production of child pornography with intent to disseminate (sect. 184b (1) No. 4 PC),M,139.0,73.0,66.0,production of child pornography with intent to disseminate (sect. 184b (1) No. 4 PC),M,182.0,128.0,54.0,"dissemination of pornographic content (products) (sects. 184, 184a,  184b, 184c, 184e PC)",M,37878,18759,19119,other forms of dissemination of pornographic content (products) (sect. 184 PC),m,1569.0,341.0,1228.0
235,extortion resembling robbery of financial institutions (banks/savings banks) (sect. 255 PC),f,3.0,0.0,3.0,robberies of post offices and postal agencies,f,3.0,0.0,3.0,other forms of robbery (sect. 249 PC),f,190.0,57.0,133.0,dissemination and production of juvenile pornography on a commercial/gang-type basis (sect. 184b (2) PC),f,2.0,2.0,0.0,production of child pornography with intent to disseminate (sect. 184b (1) No. 4 PC),f,27.0,24.0,3.0,production of child pornography with intent to disseminate (sect. 184b (1) No. 4 PC),W,40.0,33.0,7.0,production of child pornography with intent to disseminate (sect. 184b (1) No. 4 PC),W,65.0,51.0,14.0,production of child pornography with intent to disseminate (sect. 184b (1) No. 4 PC),W,94.0,79.0,15.0,"dissemination of pornographic content (products) (sects. 184, 184a,  184b, 184c, 184e PC)",W,7750,4229,3521,other forms of dissemination of pornographic content (products) (sect. 184 PC),f,181.0,61.0,120.0
236,extortion resembling robbery of financial institutions (banks/savings banks) (sect. 255 PC),x,98.0,18.0,80.0,robberies of post offices and postal agencies,x,38.0,6.0,32.0,other forms of robbery (sect. 249 PC),x,2345.0,898.0,1447.0,dissemination and production of juvenile pornography on a commercial/gang-type basis (sect. 184b (2) PC),x,13.0,6.0,7.0,production of child pornography with intent to disseminate (sect. 184b (1) No. 4 PC),x,80.0,47.0,33.0,production of child pornography with intent to disseminate (sect. 184b (1) No. 4 PC),X,114.0,67.0,47.0,production of child pornography with intent to disseminate (sect. 184b (1) No. 4 PC),X,204.0,124.0,80.0,production of child pornography with intent to disseminate (sect. 184b (1) No. 4 PC),X,276.0,207.0,69.0,"dissemination of pornographic content (products) (sects. 184, 184a,  184b, 184c, 184e PC)",X,45628,22988,22640,other forms of dissemination of pornographic content (products) (sect. 184 PC),x,1750.0,402.0,1348.0
237,robberies of post offices and postal agencies,m,33.0,10.0,23.0,robbery of post offices and postal agencies (sect. 249 PC),m,5.0,0.0,5.0,other forms of serious robbery (sect. 250 PC),m,929.0,379.0,550.0,possession or procurement of juvenile pornography (sect. 184b (3) PC),m,441.0,122.0,319.0,dissemination and production of child pornography on a commercial/gang-type basis (sect. 184b (2) PC),m,31.0,13.0,18.0,dissemination and production of child pornography on a commercial/gang-type basis (sect. 184b (2) PC),M,27.0,10.0,17.0,dissemination and production of child pornography on a commercial/gang-type basis (sect. 184b (2) PC),M,53.0,23.0,30.0,dissemination and production of child pornography on a commercial/gang-type basis (sect. 184b (2) PC),M,52.0,16.0,36.0,other forms of dissemination of pornographic content (products) (sect. 184 PC),M,1677,396,1281,dissemination of pornographic content depicting violent acts or sexual acts with animals (sect. 184a PC),w,245.0,150.0,95.0
238,robberies of post offices and postal agencies,f,2.0,1.0,1.0,robbery of post offices and postal agencies (sect. 249 PC),f,0.0,0.0,0.0,other forms of serious robbery (sect. 250 PC),f,52.0,22.0,30.0,possession or procurement of juvenile pornography (sect. 184b (3) PC),f,39.0,28.0,11.0,dissemination and production of child pornography on a commercial/gang-type basis (sect. 184b (2) PC),f,4.0,2.0,2.0,dissemination and production of child pornography on a commercial/gang-type basis (sect. 184b (2) PC),W,9.0,5.0,4.0,dissemination and production of child pornography on a commercial/gang-type basis (sect. 184b (2) PC),W,3.0,1.0,2.0,dissemination and production of child pornography on a commercial/gang-type basis (sect. 184b (2) PC),W,9.0,4.0,5.0,other forms of dissemination of pornographic content (products) (sect. 184 PC),W,195,83,112,dissemination of pornographic content depicting violent acts or sexual acts with animals (sect. 184a PC),f,36.0,21.0,15.0
239,robberies of post offices and postal agencies,x,35.0,11.0,24.0,robbery of post offices and postal agencies (sect. 249 PC),x,5.0,0.0,5.0,other forms of serious robbery (sect. 250 PC),x,981.0,401.0,580.0,possession or procurement of juvenile pornography (sect. 184b (3) PC),x,480.0,150.0,330.0,dissemination and production of child pornography on a commercial/gang-type basis (sect. 184b (2) PC),x,35.0,15.0,20.0,dissemination and production of child pornography on a commercial/gang-type basis (sect. 184b (2) PC),X,36.0,15.0,21.0,dissemination and production of child pornography on a commercial/gang-type basis (sect. 184b (2) PC),X,56.0,24.0,32.0,dissemination and production of child pornography on a commercial/gang-type basis (sect. 184b (2) PC),X,61.0,20.0,41.0,other forms of dissemination of pornographic content (products) (sect. 184 PC),X,1872,479,1393,dissemination of pornographic content depicting violent acts or sexual acts with animals (sect. 184a PC),m,281.0,171.0,110.0
